Nazwa naukowa;Nazwa polska;Gromada;Rząd;Podrząd;Rodzina
Aphonopelma moderatum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma mooreae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma pallidum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Aphonopelma seemanni;Ptasznik kostarykański zebra;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Augacephalus breyeri;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Augacephalus ezendami;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia avicularia;Ptasznik różowonogi;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia bicegoi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia braunshauseni;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia geroldi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia juruensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia lutescens;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia merianae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia minatrix;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia purpurea;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia rufa;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia taunayi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Avicularia variegata;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Birupes simoroxigorum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Bonnetina minax;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma albiceps;Ptasznik meksykański złotogłowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma auratum;Ptasznik złotokolankowy meksykański;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma baergi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma boehmei;Ptasznik ognistonogi;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma emilia;Ptasznik meksykański czerwononogi;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma hamorii;Ptasznik meksykański czerwonokolankowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma kahlenbergi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma klaasi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma schroederi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Brachypelma smithi;Ptasznik meksykański czerwonokolankowy (typ);Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Bumba cabocla;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Bumba horrida;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Caribena laeta;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Caribena versicolor;Ptasznik antylski;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ceratogyrus darlingi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ceratogyrus dolichocephalus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ceratogyrus hillierae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ceratogyrus marshalli;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ceratogyrus meridionalis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ceratogyrus sanderi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chaetopelma olivaceum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chilobrachys andersoni;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chilobrachys fimbriatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chilobrachys huahini;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chilobrachys jonitriantisami;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chilobrachys natanicharum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chilobrachys dyscolus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Chromatopelma cyaneopubescens;Ptasznik zielononogi;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Citharacanthus livingstoni;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Citharagnathus hosei;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Coremiocnemis cunicularia;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyclosternum schmarbae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriocosmus elegans;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriocosmus leetzi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriocosmus perezmilesi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriocosmus ritae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriocosmus sellatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriopagopus albostriatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriopagopus hainanus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriopagopus lividus;Ptasznik kobaltowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriopagopus longipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriopagopus minax;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Cyriopagopus paganus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Davus pentaloris;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Davus ruficeps;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Dolichothele diamantinensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Dolichothele exilis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Encyocratella olivacea;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ephebopus cyanognathus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ephebopus murinus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ephebopus rufescens;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ephebopus uatuman;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Euathlus condorito;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Euathlus parvulus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Eucratoscelus constrictus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Eupalaestrus campestratus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Eupalaestrus weijenberghi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola actaeon;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola alticeps;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola andreleetzi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola iheringi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola mendozae;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola pulchra;Ptasznik brazylijski czarny;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola pulchripes;Ptasznik złotokolankowy chaco;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola quirogai;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Grammostola rosea;Ptasznik chilijski różowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Hapalopus formosus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Hapalopus triseriatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Haplocosmia himalayana;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira atra;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira curvipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira dictator;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira marksi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira namaquensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira ocellata;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira pulchripes;Ptasznik złotożółty afrykański;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Harpactira tigrina;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Heteroscodra maculata;Ptasznik togo;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Heterothele gabonensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Heterothele villosella;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Holothele longipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Homoeomma chilense;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Hysterocrates hercules;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Hysterocrates laticeps;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Idiothele mira;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Iridopelma hirsutum;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Iridopelma zorodes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Kochiana brunnipes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Lasiocyano sazimai;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Lasiodora klugi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Lasiodora parahybana;Ptasznik brazylijski łososiowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Lasiodorides striatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Linothele fallax;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Lyrognathus crotalus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Megaphobema robustum;Ptasznik kolumbijski olbrzym;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Megaphobema velvetosoma;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Monocentropus balfouri;Ptasznik sokotrański;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Monocentropus lambertoni;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Neoholothele incei;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Nhandu carapoensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Nhandu chromatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Nhandu coloratovicillosus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Nhandu tripepii;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Omothymus schioedtei;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Omothymus violaceopes;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ornithoctonus aureotibialis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Ornithoctonus costalis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus antinous;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus augusti;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus cascada;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus ferox;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus fortis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus grandis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus insignis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus nigricolor;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus ornatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus petersi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus ultramarinus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pamphobeteus vespertinus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Pelinobius muticus;Ptasznik keniański brąz;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus atrichomatus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus auratus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus cancerides;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus cautus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus cubensis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus fulvus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormictopus greenberi;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormingochilus everetti;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormingochilus carpenteri;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Phormingochilus rufus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria fasciata;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria formosa;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria hanumavillasamica;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria metallica;Ptasznik szafirowy;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria miranda;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria ornata;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria regalis;Ptasznik indyjski ozdobny;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria rufilata;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria striata;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria subcentralis;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Poecilotheria tigrinawesseli;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus cambridgei;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
Psalmopoeus ecclesiasticus;;Pajęczaki (Arachnida);Pająki (Araneae);Pająki ptasznikowate (Mygalomorphae);Ptaszniki (Theraphosidae)
